dataset,img_num,nose_width,nose_length,lip_thickness,face_length,eye_height,eye_width,face_width_prom,face_width_mouth,forehead_length,distance_btw_pupils,dist_btw_pupils_top,dist_btw_pupils_lip,chin_length,length_cheek_to_chin,brow_to_hair,fWHR,face_shape,heartshapeness,nose_shape,lip_fullness,eye_shape,eye_size,upper_head_len,midface_len,chin_size,forehead_height,cheek_height,cheek_prominence,face_roundness
mit,10.0,37.0,73.027392121,20.0276925691,290.001724133,13.024596145,37.7127672405,199.022611781,166.003012021,132.015150646,91.5054643177,134.250931095,96.076783779,44.1021541424,143.904468153,100.501243773,1.57269942971,0.686280788074,1.19890964241,0.50665919904,0.0690605982739,0.345363045411,0.0449121334847,0.455221950974,0.331297284753,0.152075489462,0.34655395265,0.496219353811,0.113860011897,0.572420776177
mit,11.0,38.0131556175,71.0070419043,18.0311288741,253.017785936,12.544839156,37.6705234201,199.090431714,165.027270474,90.0888450364,91.6105889076,93.5053474407,94.3471448904,52.1536192416,139.454590171,60.101996639,1.61850104798,0.786863385818,1.20640928704,0.535343461691,0.0712642741989,0.333014729212,0.0495808589487,0.356057360565,0.37288740213,0.206126296808,0.237540599831,0.551165166728,0.134627536614,0.652235849204
mit,12.0,39.0,68.0,27.0,276.04528614,13.2546280431,35.5348977773,191.0,163.012269477,107.074740252,84.501479277,109.073369802,97.3721581836,49.0,136.563039625,77.1038261048,1.52795110635,0.691915455869,1.17169094457,0.573529411765,0.0978100382643,0.373003128533,0.0480161361507,0.387888312636,0.352739796956,0.17750710648,0.279315858579,0.494712449303,0.101388184941,0.590527270929
mit,13.0,38.0,63.0,29.5178344238,261.068956408,11.028359395,36.5067555233,203.039405042,171.026313765,93.0483745156,85.5131568824,97.3042907584,89.0846712979,52.0096144958,144.375816959,65.5686662972,1.77320228776,0.777723279841,1.18718225619,0.603174603175,0.113065279112,0.302090920896,0.0422430898975,0.356413017449,0.341230426335,0.19921792009,0.251154588425,0.553017941869,0.122623125009,0.655100154832
mit,14.0,39.0128184063,74.1080292546,28.5501836553,275.181758116,11.554138969,36.0901482455,190.094713235,158.079094127,113.216606556,87.0229854694,115.419344133,96.0907372724,40.049968789,140.871717527,85.2115015711,1.5568464525,0.690796928316,1.20252911547,0.526431734843,0.103750277092,0.320146619803,0.041987299769,0.411424824562,0.349190069611,0.1455400571,0.309655342543,0.511922441703,0.116343537186,0.57445339113
mit,15.0,35.0,65.0076918526,27.0,268.067155765,14.0043090643,39.5,194.064422293,164.076201809,101.242283657,88.0056816348,106.066311805,88.858356862,55.0090901579,135.19630578,73.0838559464,1.68673570501,0.72393957305,1.18277007972,0.538397826512,0.100721029859,0.354539469982,0.0522417937561,0.377675076858,0.331477970915,0.205206378233,0.272632638407,0.504337450047,0.111868312994,0.612071260056
mit,16.0,38.0,72.0,23.0276925691,275.181758116,14.0415388536,40.6109759112,203.022166277,166.027106221,115.277925033,96.0,120.499481327,92.0121850762,44.0113621693,144.526718721,82.8869712319,1.6176551517,0.737774798981,1.2228254223,0.527777777778,0.0836817553849,0.345757237755,0.0510264159577,0.41891557719,0.334368766687,0.159935609361,0.301208088063,0.525204576461,0.134438635432,0.603336163549
mit,17.0,39.0128184063,69.0289794217,22.0276925691,285.043856275,10.7726805086,37.5330531138,197.002538055,169.073948318,120.149906367,89.5055864178,122.300091987,93.51424074,53.0094331228,143.929279686,94.0850678907,1.66897373757,0.691130623299,1.16518564814,0.565165800409,0.0772782576581,0.287018497428,0.037793063318,0.421513755593,0.328069659042,0.185969393677,0.330072253162,0.504937315847,0.0979799743844,0.593150648914
mit,18.0,42.0475920833,72.0624728968,22.0415945788,285.0,13.0048059156,39.0320333929,221.144748977,178.179684588,112.01785572,99.102219955,114.796014739,101.644888243,55.0363516233,149.737918733,81.1249036979,1.72610062479,0.775946487638,1.2411333508,0.583488054087,0.0773389283466,0.333182895821,0.0456308979496,0.393045107788,0.356648730676,0.193110005696,0.284648784905,0.52539620608,0.150754611889,0.625191875749
mit,19.0,37.0135110466,78.006409993,26.5,286.001748246,14.336475008,37.1685052592,181.0,154.029218007,109.0,84.0133917896,112.256959695,100.91436832,49.0,141.735644183,77.0064932327,1.34074074074,0.632863264332,1.17510172642,0.47449319934,0.0926567762697,0.385715672664,0.0501272285777,0.381116551449,0.352845284824,0.171327624046,0.269251826973,0.495576146131,0.0943028570905,0.538560407242
