INFO:root:Start training with [gpu(0)]
INFO:root:Epoch[3] Batch [660]	Speed: 2923.43 samples/sec	Train-rmse=0.847827
INFO:root:Epoch[3] Batch [680]	Speed: 2923.34 samples/sec	Train-rmse=1.003397
INFO:root:Epoch[3] Batch [700]	Speed: 2918.86 samples/sec	Train-rmse=1.268133
INFO:root:Epoch[3] Batch [720]	Speed: 2873.13 samples/sec	Train-rmse=0.930247
INFO:root:Epoch[3] Batch [740]	Speed: 2809.43 samples/sec	Train-rmse=0.941982
INFO:root:Epoch[3] Batch [760]	Speed: 2810.45 samples/sec	Train-rmse=0.985503
INFO:root:Epoch[3] Resetting Data Iterator
INFO:root:Epoch[3] Time cost=26.749
INFO:root:Saved checkpoint to "model_exp/attract_model-0004.params"
INFO:root:Epoch[3] Validation-rmse=1.022269
INFO:root:Epoch[4] Batch [20]	Speed: 2998.22 samples/sec	Train-rmse=1.029268
INFO:root:Epoch[4] Batch [40]	Speed: 2932.47 samples/sec	Train-rmse=0.776191
INFO:root:Epoch[4] Batch [60]	Speed: 2927.73 samples/sec	Train-rmse=0.797239
INFO:root:Epoch[4] Batch [80]	Speed: 2862.71 samples/sec	Train-rmse=0.747280
INFO:root:Epoch[4] Batch [100]	Speed: 2815.33 samples/sec	Train-rmse=0.860748
INFO:root:Epoch[4] Batch [120]	Speed: 2822.66 samples/sec	Train-rmse=0.959321
INFO:root:Epoch[4] Batch [140]	Speed: 2882.79 samples/sec	Train-rmse=0.875164
INFO:root:Epoch[4] Batch [160]	Speed: 2930.59 samples/sec	Train-rmse=0.790292
INFO:root:Epoch[4] Batch [180]	Speed: 2872.37 samples/sec	Train-rmse=0.935117
INFO:root:Epoch[4] Batch [200]	Speed: 2863.36 samples/sec	Train-rmse=1.195228
INFO:root:Epoch[4] Batch [220]	Speed: 2928.86 samples/sec	Train-rmse=1.108024
INFO:root:Epoch[4] Batch [240]	Speed: 2932.20 samples/sec	Train-rmse=1.171348
INFO:root:Epoch[4] Batch [260]	Speed: 2898.99 samples/sec	Train-rmse=0.982458
INFO:root:Epoch[4] Batch [280]	Speed: 2888.34 samples/sec	Train-rmse=0.894908
INFO:root:Epoch[4] Batch [300]	Speed: 2918.10 samples/sec	Train-rmse=0.805067
INFO:root:Epoch[4] Batch [320]	Speed: 2852.77 samples/sec	Train-rmse=1.068522
INFO:root:Epoch[4] Batch [340]	Speed: 2877.15 samples/sec	Train-rmse=0.863660
INFO:root:Epoch[4] Batch [360]	Speed: 2931.89 samples/sec	Train-rmse=0.895573
INFO:root:Epoch[4] Batch [380]	Speed: 2876.01 samples/sec	Train-rmse=0.885419
INFO:root:Epoch[4] Batch [400]	Speed: 2904.86 samples/sec	Train-rmse=0.808454
INFO:root:Epoch[4] Batch [420]	Speed: 2927.71 samples/sec	Train-rmse=1.073377
INFO:root:Epoch[4] Batch [440]	Speed: 2933.75 samples/sec	Train-rmse=1.146692
INFO:root:Epoch[4] Batch [460]	Speed: 2933.20 samples/sec	Train-rmse=0.941801
INFO:root:Epoch[4] Batch [480]	Speed: 2931.74 samples/sec	Train-rmse=0.940363
INFO:root:Epoch[4] Batch [500]	Speed: 2935.32 samples/sec	Train-rmse=1.059470
INFO:root:Epoch[4] Batch [520]	Speed: 2937.48 samples/sec	Train-rmse=1.144746
INFO:root:Epoch[4] Batch [540]	Speed: 2934.84 samples/sec	Train-rmse=1.052279
INFO:root:Epoch[4] Batch [560]	Speed: 2941.54 samples/sec	Train-rmse=0.999446
INFO:root:Epoch[4] Batch [580]	Speed: 2934.81 samples/sec	Train-rmse=1.097103
INFO:root:Epoch[4] Batch [600]	Speed: 2902.21 samples/sec	Train-rmse=1.056728
