,Age,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Attractive,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Surprised,Threatening,Trustworthy,Unusual
WM-227,25.82608696,0,1,0,0,0.130434783,0.086956522,0.086956522,0.695652174,1.772727273,2.545454545,2.434782609,2,1.954545455,3.608695652,1.739130435,1.826086957,4.739130435,1.810810811,2.52173913,1.608695652,2.347826087,3.086956522,1.913043478
WM-228,31.07407407,0.037037037,0.962962963,0,0,0.222222222,0.148148148,0.222222222,0.407407407,1.769230769,2.555555556,1.888888889,2.346153846,2.259259259,3.148148148,1.814814815,2.115384615,4.423076923,1.636363636,2.518518519,1.62962963,2.576923077,3,3.592592593
WM-229,24.69565217,0,1,0,0,0,0,0,1,1.791666667,2.695652174,2.791666667,2.083333333,1.875,2.625,1.25,1.913043478,4.125,4,2.166666667,1.416666667,2.291666667,2.958333333,1.875
WM-230,21.60714286,0,1,0,0,0,0,0,1,1.814814815,1.785714286,3.142857143,3.964285714,2,2.678571429,1.851851852,3.214285714,3.821428571,4.272727273,1.928571429,1.5,2.035714286,3.392857143,2.035714286
WM-231,20.5862069,0,1,0.034482759,0,0.275862069,0.137931034,0,0.551724138,2,2.172413793,3.642857143,4.068965517,1.655172414,2.607142857,1.862068966,2.310344828,4.24137931,2.235294118,2.586206897,1.482758621,2.137931034,3.275862069,1.896551724
WM-232,23.2962963,0,1,0,0,0,0,0,1,2.666666667,3.538461538,2.592592593,2.703703704,2.925925926,2.592592593,1.740740741,1.888888889,4.37037037,3.625,3.407407407,1.851851852,3.037037037,2.777777778,2.703703704
WM-233,33.33333333,0.041666667,0.958333333,0.083333333,0,0.208333333,0.208333333,0.291666667,0.208333333,2.208333333,2.391304348,2.125,2,2.375,3.333333333,1.833333333,2.375,4.541666667,1.571428571,2.291666667,1.916666667,2.5,3,2.916666667
WM-234,23.31034483,0,1,0,0,0,0,0,1,1.862068966,2.862068966,2.551724138,2.724137931,2,3.107142857,1.586206897,2.137931034,4.517241379,4.26,2.172413793,1.310344828,2.517241379,2.862068966,1.896551724
WM-235,20.75,0.035714286,0.964285714,0,0,0,0,0,1,1.428571429,3,3.357142857,2.464285714,2.037037037,3.074074074,1.571428571,1.678571429,4.321428571,4.25,2.074074074,1.357142857,3,2.571428571,1.678571429
WM-236,20.73076923,0,1,0,0,0,0,0.038461538,0.961538462,1.692307692,1.5,2.038461538,3.807692308,1.307692308,1.56,2.769230769,1.923076923,2.84,3.169811321,2.923076923,1.230769231,1.538461538,3,2.769230769
WM-237,29,0,1,0,0,0.034482759,0,0,0.965517241,1.965517241,2.551724138,2.517241379,2.068965517,2.172413793,2.724137931,1.678571429,1.793103448,4.285714286,3.79245283,2.551724138,1.642857143,2.413793103,3,2.413793103
WM-238,24.81818182,0,1,0,0,0,0,0,1,1.666666667,2.363636364,3.272727273,2.181818182,2.136363636,3.318181818,1.5,2.409090909,4.590909091,3.711538462,1.772727273,1.428571429,2.909090909,3,2.136363636
WM-239,18.03571429,0.035714286,0.964285714,0,0,0,0.035714286,0.035714286,0.928571429,2.321428571,2,2.964285714,4.285714286,2.214285714,2.178571429,2.071428571,2.321428571,3.785714286,3.777777778,2.392857143,1.892857143,2.107142857,3.285714286,1.964285714
WM-240,34.38461538,0,1,0,0,0,0,0,1,3.384615385,2.2,3.346153846,2.192307692,2.038461538,2.730769231,1.92,1.76,4.5,3.489361702,4.153846154,1.730769231,2.230769231,3.5,2.653846154
WM-241,34.25925926,0,1,0,0,0,0,0,1,2,3.461538462,3,1.888888889,2.037037037,4.037037037,2,2.259259259,4.703703704,4.042553191,2.259259259,1.576923077,3,3.111111111,2.925925926
WM-242,23.06896552,0,1,0,0,0.034482759,0.103448276,0,0.862068966,1.75862069,2.571428571,4.034482759,2.310344828,2.724137931,2.827586207,1.75862069,1.724137931,4.214285714,3.254901961,2.24137931,1.344827586,2.142857143,3.137931034,2.310344828
WM-243,31.44,0,1,0,0,0.166666667,0.041666667,0.041666667,0.75,1.88,3.2,3.16,1.84,2.375,3.88,1.76,1.76,4.652173913,2.409836066,2.2,1.6,3.56,2.56,3.36
WM-244,30.51851852,0,1,0,0,0,0,0,1,1.538461538,2.037037037,3.037037037,1.851851852,1.68,3.481481481,1.692307692,2.814814815,5.111111111,3.385964912,1.777777778,1.777777778,2.37037037,2.888888889,2.37037037
WM-245,26.27586207,0,1,0,0,0,0,0,1,2.586206897,2.931034483,3.357142857,2.142857143,2.714285714,2.862068966,1.344827586,1.448275862,4.620689655,3.955555556,3.413793103,1.379310345,2.75862069,2.827586207,1.931034483
WM-247,25.5,0,1,0,0,0,0,0.038461538,0.961538462,2.04,2.269230769,2.72,2.461538462,2.038461538,2.615384615,1.769230769,2.576923077,3.923076923,2.764705882,2.458333333,1.769230769,2.076923077,3.230769231,2.153846154
WM-248,41.69230769,0,1,0,0,0,0,0,1,2,2,2.846153846,1.730769231,2,2.961538462,1.36,2.307692308,4.461538462,4.04,2.5,1.923076923,2.384615385,3.230769231,2.038461538
WM-249,43.18518519,0,1,0,0,0,0,0,1,2.481481481,3.037037037,2.407407407,1.555555556,2.407407407,3.333333333,1.222222222,1.333333333,4.148148148,4.1,3.222222222,1.538461538,3.407407407,2.307692308,2.888888889
WM-250,21.12,0,1,0.04,0.12,0.4,0.4,0.04,0,2.166666667,1.88,4.12,3.72,2.04,3.64,1.56,1.875,4.68,1.25,2.68,1.64,2,3.36,2.24
WM-251,27.72,0,1,0,0,0,0,0,1,2.04,2.08,2.6,2.08,1.96,2.56,1.68,3.2,4.32,4.038461538,2.48,1.791666667,1.92,3.4,2.48
WM-252,32.77777778,0,1,0,0,0.185185185,0.037037037,0.037037037,0.740740741,1.777777778,2.296296296,3.111111111,2,2.074074074,3.037037037,1.37037037,2.703703704,5.148148148,2.222222222,1.888888889,1.740740741,1.962962963,3.888888889,2.222222222
WM-253,24,0.038461538,0.961538462,0,0.04,0.24,0.04,0,0.68,1.538461538,1.692307692,3.5,3.076923077,1.769230769,2.76,1.76,3.269230769,3.846153846,2.048780488,1.730769231,1.653846154,2,3.153846154,2.346153846
WM-254,30.30769231,0,1,0,0,0,0,0,1,1.307692308,2.076923077,3.153846154,2.076923077,1.615384615,3.230769231,1.230769231,2.538461538,4.807692308,4.14893617,1.269230769,1.153846154,2,3.230769231,1.307692308
WM-255,34.07142857,0.035714286,0.964285714,0,0,0.111111111,0.185185185,0.111111111,0.592592593,1.444444444,2.25,2.259259259,1.571428571,1.821428571,3.214285714,1.642857143,2.571428571,4.714285714,1.769230769,2.142857143,1.392857143,2.75,2.892857143,3
WM-256,30.96153846,0,1,0,0,0.115384615,0.076923077,0.038461538,0.769230769,1.769230769,2.384615385,2.269230769,2.615384615,1.961538462,3.230769231,1.64,2.346153846,4.384615385,2.214285714,1.96,1.923076923,2.384615385,3,1.769230769
WM-257,30.03703704,0,1,0,0,0.111111111,0.037037037,0,0.851851852,1.925925926,1.333333333,3.740740741,2.28,1.185185185,2.185185185,1.814814815,2.518518519,4.346153846,3.081632653,2.518518519,1.740740741,1.555555556,3.923076923,2.666666667
WM-258,37.85185185,0,1,0,0,0,0,0,1,1.222222222,1.62962963,2.148148148,1.777777778,1.851851852,3.230769231,1.148148148,3.074074074,4.666666667,4.244444444,1.592592593,1.518518519,2,3.333333333,2.185185185
