,Race,Gender,Age,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Luminance_median
AM-253,A,M,25.03448276,29,0,1,0.620689655,0,0.206896552,0.137931034,0,0.034482759,1.689655172,2.068965517,2.655172414,1.448275862,2.827586207,1.586206897,3.035714286,4.344827586,2.534883721,1.535714286,.,1.5,1.896551724,3.827586207,2.137931034,141
BF-001,B,F,28.49438202,89,1,0,0,1,0,0,0,0,2.078651685,2.348314607,2.539325843,2.056179775,2,3.887640449,2.258426966,2.606741573,3.953488372,2.629213483,4.115384615384615,1.550561798,2,3.685393258,2.247191011,114.5
BF-002,B,F,21.34408602,93,1,0,0,0.978494624,0,0.010752688,0.010752688,0,1.827956989,2.150537634,2.630434783,1.795698925,2.148148148,5.397849462,2.827956989,1.559139785,3.756756757,2.376344086,4.653846153846154,1.559139785,1.76344086,4.021978022,2.129032258,104
BF-003,B,F,25.80898876,89,0.988764045,0.011235955,0.011235955,0.606741573,0.134831461,0.06741573,0.168539326,0.011235955,1.595505618,1.561797753,3.685393258,1.426966292,2.185185185,4.191011236,3.415730337,1.865168539,3.365853659,1.887640449,4.1923076923076925,1.853932584,1.483146067,3.797752809,1.831460674,117.5
BF-004,B,F,26.98369565,92,1,0,0,1,0,0,0,0,2.522222222,3.077777778,2.377777778,2.7,2.615384615,3.744444444,1.788888889,2.5,4.048780488,3.844444444,4.1923076923076925,1.677777778,2.588888889,3.303370787,2.288888889,96.5
BF-005,B,F,28.12087912,91,1,0,0,0.813186813,0.076923077,0.054945055,0.054945055,0,1.747252747,2.406593407,2.032967033,2.32967033,3.107142857,4.791208791,2.901098901,1.857142857,3,2.277777778,4.115384615384615,1.681318681,1.922222222,3.747252747,2.318681319,125
BF-006,B,F,27.92631579,95,0.989361702,0.010638298,0.010526316,0.957894737,0.010526316,0,0.021052632,0,1.858695652,1.880434783,3.141304348,1.72826087,2.740740741,4.532608696,3.630434783,2.434782609,3.955555556,2.326086957,4.038461538461538,2.054347826,1.902173913,3.846153846,2.395604396,99.5
BF-007,B,F,30.51086957,92,0.97826087,0.02173913,0,0.97826087,0,0.010869565,0.010869565,0,2.725274725,2.813186813,2.164835165,2.747252747,2.652173913,3.197802198,1.604395604,3,3.909090909,4.164835165,3.6538461538461537,1.813186813,2.577777778,2.835164835,2.555555556,109
BF-008,B,F,24.57471264,87,1,0,0,0.988505747,0.011494253,0,0,0,1.850574713,2.091954023,2.735632184,2.046511628,2.4,3.988505747,3.103448276,2.344827586,3.585365854,2.563218391,3.9615384615384617,1.873563218,2.264367816,3.32183908,2.651162791,118.5
BF-009,B,F,30.07446809,93,1,0,0.010752688,0.956989247,0.010752688,0.010752688,0.010752688,0,2,2.784946237,2,2.804347826,2.730769231,3.795698925,2.064516129,2.505376344,3.596153846,2.677419355,3.8846153846153846,2.365591398,2.554347826,3.301075269,2.193548387,104.5
BF-010,B,F,29.2,90,1,0,0,1,0,0,0,0,1.777777778,1.844444444,1.911111111,1.933333333,2.178571429,4.1,3.444444444,2.544444444,3.743589744,2.511111111,3.9615384615384617,1.788888889,1.733333333,3.9,2.622222222,108
BF-011,B,F,28.58510638,94,1,0,0,0.978723404,0.010638298,0.010638298,0,0,2.591397849,2.698924731,2.150537634,2.559139785,2.62962963,4.054945055,2.279569892,2.537634409,3.795454545,2.440860215,3.5,3.096774194,2.387096774,3.129032258,3.053763441,118
BF-012,B,F,26.77659574,94,0.989361702,0.010638298,0,0.946808511,0,0.010638298,0.042553191,0,2.569892473,3.333333333,2.88172043,3.032258065,3.28,3.290322581,1.827956989,3.086021505,3.875,3.516129032,3.423076923076923,1.741935484,2.903225806,3.043010753,2.946236559,115.5
BF-013,B,F,18.31521739,91,1,0,0.010989011,0.945054945,0.021978022,0.010989011,0.010989011,0,1.866666667,1.808988764,3.988888889,1.688888889,2.392857143,5.466666667,3.533333333,1.477777778,3.139534884,2.055555556,4.461538461538462,1.811111111,1.655555556,3.888888889,2.157303371,127.5
BF-014,B,F,27.22988506,87,0.977011494,0.022988506,0,0.954022989,0.034482759,0.011494253,0,0,2.639534884,2.604651163,2.802325581,2.406976744,2.625,3.802325581,1.825581395,2.255813953,3.361702128,3.752941176,4.230769230769231,1.604651163,2.058823529,3.162790698,2.058139535,117.5
BF-015,B,F,29.53608247,98,0.989795918,0.010204082,0.010204082,0.908163265,0.030612245,0.020408163,0.030612245,0,2.556701031,3.536082474,2.0625,2.804123711,3.4,4.690721649,1.969072165,2.3125,3.15,3.319587629,3.4615384615384617,1.886597938,2.865979381,3.072164948,3.567010309,121.5
BF-016,B,F,27.09302326,86,1,0,0.011627907,0.930232558,0.023255814,0.023255814,0.011627907,0,2.226190476,3.285714286,2.976190476,2.869047619,3.25,4.120481928,2.05952381,2.428571429,3.631578947,3.25,3.8846153846153846,1.879518072,2.746987952,3.226190476,2.845238095,123
BF-017,B,F,34.26966292,89,0.988764045,0.011235955,0,1,0,0,0,0,1.852272727,1.738636364,2.409090909,1.693181818,2.230769231,4.284090909,3.284090909,2.181818182,4.173913043,2.125,4.3076923076923075,2.091954023,1.681818182,3.83908046,1.886363636,95.5
BF-018,B,F,26.9010989,90,0.978021978,0.021978022,0,0.977777778,0,0.011111111,0.011111111,0,1.966666667,1.911111111,3.213483146,1.855555556,2.888888889,4.611111111,3.144444444,2.033333333,3.769230769,2.544444444,4.5,1.744444444,1.711111111,3.788888889,2.055555556,118.5
BF-019,B,F,29.7032967,89,1,0,0,0.943820225,0.033707865,0.011235955,0.011235955,0,1.912087912,2.449438202,2.736263736,2.211111111,2.72,4.010989011,2.626373626,2.494505495,3.978723404,2.505494505,4.038461538461538,1.78021978,2.373626374,3.450549451,2.340659341,136
BF-020,B,F,26.45744681,94,0.827956989,0.172043011,0,0.914893617,0.031914894,0.031914894,0.021276596,0,1.808510638,1.698924731,2.808510638,1.734042553,2.269230769,3.446808511,3.989361702,3.308510638,3.615384615,2.043010753,3.64,1.827956989,1.861702128,3.870967742,3.085106383,122
BF-021,B,F,26.40860215,93,1,0,0,1,0,0,0,0,2.065217391,2.77173913,2.769230769,2.456521739,2.620689655,3.989130435,2.22826087,2.402173913,4.108108108,3.010989011,4.423076923076923,1.695652174,2.27173913,3.25,2.043478261,103.5
BF-023,B,F,30.75,92,1,0,0,0.945652174,0.010869565,0.010869565,0.032608696,0,2.989010989,2.747252747,2.032967033,2.32967033,2.807692308,3.911111111,1.835164835,2.384615385,3.34,3.307692308,4.230769230769231,2.153846154,2.373626374,3.230769231,2.263736264,112.5
BF-024,B,F,36.30769231,91,0.989010989,0.010989011,0,0.989010989,0,0.010989011,0,0,2.3,2.9,1.522222222,2.722222222,3.461538462,3.5,1.788888889,2.711111111,4.045454545,3.422222222,3.769230769230769,1.633333333,2.633333333,3.101123596,1.777777778,102.5
BF-025,B,F,25.27659574,94,1,0,0,0.957446809,0.021276596,0.021276596,0,0,1.914893617,2.159574468,3.414893617,2.150537634,2.730769231,4.659574468,3.276595745,2.095744681,3.318181818,2.510638298,4.346153846153846,2.074468085,1.882978723,3.817204301,2.382978723,114.5
BF-027,B,F,38,92,0.989247312,0.010752688,0,1,0,0,0,0,2.053763441,2.021505376,2.204301075,1.836956522,3.038461538,4.365591398,3.086956522,2.182795699,4.19047619,2.369565217,4.384615384615385,2.086021505,2.086021505,3.706521739,2.150537634,97
BF-028,B,F,22.62365591,93,1,0,0,1,0,0,0,0,1.559139785,1.677419355,3.623655914,1.52688172,1.851851852,4.655913978,3.688172043,1.64516129,4.214285714,1.827956989,4.576923076923077,1.619565217,1.569892473,4.075268817,1.935483871,97.5
BF-029,B,F,23.13483146,89,0.715909091,0.284090909,0,0.988764045,0,0,0.011235955,0,3.023529412,3.290697674,3.441860465,2.670588235,3.384615385,3.104651163,1.952941176,3.581395349,4.4,2.76744186,3.3076923076923075,2.811764706,3.26744186,3.105882353,3.337209302,88
BF-030,B,F,22.97894737,95,0.989473684,0.010526316,0,0.957894737,0.021052632,0,0.021052632,0,2.075268817,2.086021505,2.935483871,2.075268817,2.655172414,4.720430108,2.698924731,2.11827957,3.642857143,2.666666667,4.423076923076923,2.043010753,1.967741935,3.72826087,2.397849462,92.5
BF-031,B,F,26.33695652,92,0.978021978,0.021978022,0.010869565,0.956521739,0,0.010869565,0.02173913,0,2.086956522,2.755555556,2.597826087,2.351648352,3.037037037,4.260869565,1.695652174,2.152173913,3.780487805,3.391304348,3.923076923076923,1.489130435,2.510869565,3.239130435,2.130434783,111
BF-032,B,F,30.48958333,96,0.979166667,0.020833333,0,0.989583333,0,0,0,0.010416667,1.968421053,2.726315789,2.968421053,2.389473684,3.615384615,3.652631579,2.542553191,2.736842105,4.487804878,2.578947368,3.769230769230769,2.115789474,2.357894737,3.357894737,3.147368421,94
BF-033,B,F,28.95744681,94,0.978723404,0.021276596,0,0.989361702,0.010638298,0,0,0,1.861702128,1.787234043,2.840425532,1.70212766,2.172413793,3.308510638,2.829787234,3.106382979,4.441860465,2.29787234,3.96,1.70212766,1.936170213,3.478723404,2.457446809,91
BF-034,B,F,26.29896907,97,0.948453608,0.051546392,0.010309278,0.969072165,0,0.010309278,0.010309278,0,2.28125,3.103092784,2.989583333,2.536082474,4.08,3.164948454,2.18556701,3.206185567,4.510638298,2.659793814,3.730769230769231,1.773195876,2.721649485,3.164948454,2.525773196,86
BF-035,B,F,19,85,0.341176471,0.658823529,0,0.964705882,0,0.023529412,0.011764706,0,1.717647059,2.117647059,3.05952381,1.635294118,2.84,2.341176471,2.329411765,4.152941176,4.219512195,2.176470588,2.576923076923077,1.647058824,2.517647059,3.164705882,2.682352941,96
BF-036,B,F,23.2,90,0.988888889,0.011111111,0,0.911111111,0.022222222,0.033333333,0.022222222,0.011111111,2.123595506,1.920454545,2.943820225,2.146067416,1.863636364,4.460674157,2.741573034,1.887640449,3.136363636,2.505617978,4.576923076923077,2.292134831,1.719101124,3.775280899,1.93258427,129
BF-037,B,F,25.46067416,89,0.988505747,0.011494253,0,1,0,0,0,0,2.586206897,2.287356322,2.896551724,2.195402299,2,4.252873563,2.218390805,2.172413793,4.152173913,3.195402299,4.3076923076923075,2.091954023,2.08045977,3.418604651,2.137931034,85
BF-038,B,F,26.45744681,94,0.989361702,0.010638298,0,0.978723404,0.010638298,0.010638298,0,0,2.591397849,4.815217391,2.483870968,3.752688172,3.888888889,2.924731183,1.456521739,3.456521739,4.392156863,2.720430108,2.8076923076923075,1.860215054,4.150537634,2.75,3.141304348,102.5
BF-039,B,F,24.87640449,90,1,0,0,0.988888889,0,0,0.011111111,0,2.844444444,2.272727273,2.633333333,2.144444444,2.111111111,4.511111111,2.179775281,1.977777778,3.846153846,3.444444444,4.346153846153846,1.933333333,1.777777778,3.719101124,2.222222222,79.5
BF-040,B,F,20.65517241,87,0.988505747,0.011494253,0,0.988505747,0,0,0,0.011494253,2.068965517,2.091954023,2.965517241,2.093023256,2.55,4.068965517,2.574712644,2.517241379,3.978723404,3.08045977,4.269230769230769,1.574712644,1.747126437,3.505747126,1.931034483,96
BF-041,B,F,65.34736842,95,0.978947368,0.021052632,0,0.873684211,0.052631579,0.021052632,0.042105263,0.010526316,1.872340426,2.063829787,4.010638298,1.795698925,1.933333333,4.723404255,3.776595745,2.074468085,3.238095238,2.159574468,4.423076923076923,1.914893617,1.893617021,4.247311828,2.180851064,106
BF-042,B,F,21.29545455,88,0.977272727,0.022727273,0.011363636,0.943181818,0.022727273,0.011363636,0.011363636,0,2.375,2.590909091,4,2.356321839,2.461538462,4.522727273,2.333333333,2.534090909,3.816326531,3.090909091,4.1923076923076925,2,2.193181818,3.727272727,2.227272727,100.5
BF-043,B,F,23.50526316,94,0.978494624,0.021505376,0,0.936170213,0.010638298,0.010638298,0.031914894,0.010638298,2.268817204,2.402173913,3.021505376,2.456521739,2.444444444,4.336956522,2.569892473,2.35483871,3.87755102,2.709677419,4.076923076923077,1.849462366,2.065217391,3.903225806,2.086021505,83
BF-044,B,F,25.57446809,94,0.808510638,0.191489362,0,0.904255319,0.010638298,0.010638298,0.074468085,0,2.215053763,3.095744681,2.861702128,2.691489362,3.214285714,2.765957447,2.159574468,3.819148936,4.2,3.042553191,2.6923076923076925,1.744680851,2.542553191,3.255319149,3.14893617,85
BF-045,B,F,22.93617021,94,0.893617021,0.106382979,0,0.734042553,0.063829787,0.095744681,0.106382979,0,2.574468085,3.301075269,2.563829787,2.638297872,2.884615385,3.414893617,1.723404255,2.978723404,2.775,3.180851064,3.44,1.893617021,2.70212766,3.234042553,2.85106383,119
BF-047,B,F,34.21348315,89,1,0,0,0.95505618,0.011235955,0,0.033707865,0,2.204545455,2.988636364,1.727272727,2.829545455,4.16,3.852272727,2.306818182,2.840909091,4.066666667,2.625,3.8,1.829545455,2.818181818,3.386363636,2.551724138,93
BF-048,B,F,30.76344086,94,0.989361702,0.010638298,0,0.968085106,0,0.010638298,0.021276596,0,2.117021277,2.032258065,1.925531915,1.744680851,2.6,3.489361702,2.489361702,2.64893617,3.897435897,2.425531915,4.3076923076923075,1.882978723,1.861702128,3.419354839,2.095744681,95.5
BF-049,B,F,20.82978723,94,0.989361702,0.010638298,0.010638298,0.957446809,0.010638298,0.010638298,0.010638298,0,2.095744681,1.904255319,3.606382979,2.010638298,2.074074074,5.212765957,3.563829787,1.744680851,3.5,2.159574468,4.6923076923076925,2.414893617,1.784946237,4.107526882,2.414893617,95.5
BF-050,B,F,22.375,96,0.979166667,0.020833333,0,0.989583333,0,0,0.010416667,0,2.510416667,3.431578947,2.635416667,3.094736842,3.107142857,4.760416667,2.385416667,2.114583333,3.863636364,2.452631579,4.08,2.71875,2.708333333,3.427083333,2.979166667,105
BF-051,B,F,33.40229885,87,0.988505747,0.011494253,0.011494253,0.977011494,0.011494253,0,0,0,2.011494253,3.586206897,1.988505747,2.977011494,3.666666667,3.195402299,1.931034483,3.045977011,4.022727273,2.471264368,3.4615384615384617,1.802325581,3.275862069,2.896551724,2.862068966,112.5
BF-200,B,F,31.4137931,29,1,0,0,0.793103448,0,0.172413793,0.034482759,0,1.827586207,2.896551724,2.068965517,2.310344828,3.75862069,2.714285714,1.896551724,3.413793103,3.631578947,2.137931034,.,1.607142857,2.965517241,2.379310345,3.310344828,134
BF-201,B,F,27.4,25,1,0,0,1,0,0,0,0,1.6,2.04,1.72,1.8,2.36,5,2.52,1.52,3.673913043,1.8,.,1.56,1.88,3.84,2.12,98.5
BF-202,B,F,37.63333333,29,1,0,0,1,0,0,0,0,2.866666667,4.2,1.233333333,3.366666667,3.866666667,4.033333333,1.2,2.633333333,3.574468085,4.6,.,1.448275862,2.8,2.933333333,2.333333333,130
BF-203,B,F,47.76,25,0.958333333,0.041666667,0,0.08,0.12,0.64,0.04,0.12,2.208333333,3.24,1.2,3.24,1.958333333,4.32,1.44,1.64,1.306122449,2.72,.,1.625,1.68,3.12,2.12,150.5
BF-204,B,F,31.5,24,1,0,0,1,0,0,0,0,1.333333333,1.708333333,2.291666667,1.375,2.333333333,4.875,3.333333333,1.583333333,3.906976744,1.875,.,1.782608696,1.458333333,3.916666667,1.833333333,115.5
BF-205,B,F,29.35714286,28,0.964285714,0.035714286,0,0.964285714,0,0.035714286,0,0,2.035714286,2.428571429,2.035714286,1.75,2.714285714,3.714285714,2.107142857,2.107142857,3.833333333,2.607142857,.,1.535714286,2.464285714,2.851851852,2.821428571,94.5
BF-206,B,F,31.75,28,1,0,0,0.964285714,0,0.035714286,0,0,1.461538462,2.142857143,1.964285714,1.857142857,3,3.5,2.518518519,2.321428571,3.979166667,2.071428571,.,1.428571429,2.321428571,3.25,1.678571429,92.5
BF-207,B,F,22.60714286,28,0.964285714,0.035714286,0,0.214285714,0.285714286,0.5,0,0,1.678571429,1.964285714,2.214285714,2.071428571,2.407407407,4.392857143,1.571428571,2,1.791666667,3.142857143,.,1.321428571,1.925925926,3.285714286,2.035714286,138.5
BF-208,B,F,26.13333333,30,0.966666667,0.033333333,0,0.966666667,0,0.033333333,0,0,2.066666667,2.366666667,2.1,2.033333333,2.733333333,4.433333333,1.7,2,3.954545455,2.966666667,.,1.333333333,1.933333333,3.466666667,2.3,115
BF-209,B,F,27.35714286,28,1,0,0,0.142857143,0.464285714,0.321428571,0.071428571,0,1.888888889,2.259259259,2.25,1.678571429,2.259259259,3.785714286,1.964285714,2.142857143,1.586956522,3.037037037,.,1.5,2.142857143,3.821428571,2.037037037,131.5
BF-210,B,F,24,27,1,0,0,0.962962963,0,0.037037037,0,0,1.555555556,1.555555556,2.814814815,1.814814815,2.111111111,4.962962963,3.538461538,1.62962963,3.5,1.68,.,1.777777778,1.592592593,4.076923077,3.148148148,129.5
BF-211,B,F,51.7037037,27,1,0,0,0.851851852,0,0.148148148,0,0,1.481481481,2.185185185,1.222222222,1.62962963,3,3.814814815,2.185185185,2.44,2.5,1.962962963,.,1.592592593,1.923076923,3.88,2.703703704,142.5
BF-212,B,F,29.04,25,1,0,0,0.92,0,0.08,0,0,1.333333333,1.583333333,2.24,1.48,2.92,5.166666667,4.541666667,1.88,3.363636364,1.48,.,1.64,1.75,4.333333333,2.28,134.5
BF-213,B,F,36.48148148,27,1,0,0,0.814814815,0.037037037,0.148148148,0,0,1.740740741,2.666666667,1.925925926,1.666666667,2.62962963,3.555555556,1.407407407,2.111111111,3.3125,2.148148148,.,1.481481481,2.592592593,2.740740741,1.851851852,121.5
BF-214,B,F,32.84615385,26,1,0,0,0.846153846,0,0.153846154,0,0,1.538461538,2.153846154,1.769230769,1.769230769,3.461538462,5.461538462,2.461538462,1.653846154,3.044444444,1.615384615,.,1.346153846,2.307692308,3.76,3.115384615,113.5
BF-215,B,F,31.56666667,30,1,0,0,0.966666667,0,0,0.033333333,0,1.933333333,2.766666667,1.633333333,2.2,3.233333333,4.733333333,1.866666667,2.133333333,4.113636364,1.933333333,.,1.733333333,2.366666667,2.933333333,1.9,96.5
BF-216,B,F,24.71428571,28,0.962962963,0.037037037,0,0.607142857,0.035714286,0.357142857,0,0,1.785714286,1.821428571,2.148148148,1.5,2.555555556,6,1.892857143,1.178571429,2.153846154,2.142857143,.,1.571428571,1.444444444,3.607142857,2.392857143,138.5
BF-217,B,F,29.96428571,29,1,0,0,0.965517241,0,0.034482759,0,0,1.551724138,1.586206897,2.344827586,1.724137931,2.379310345,5.448275862,3.142857143,1.172413793,3.255813953,1.827586207,.,2.206896552,1.5,4.178571429,1.724137931,125.5
BF-218,B,F,29.84,25,1,0,0,1,0,0,0,0,1.24,1.32,1.76,1.2,3.2,5.625,4.08,1.52,4.292682927,1.32,.,1.52,1.28,4.28,2.52,94
BF-219,B,F,37.13793103,29,1,0,0,1,0,0,0,0,1.678571429,2.464285714,1.379310345,2.034482759,3.586206897,3.137931034,1.655172414,2.75862069,4.117647059,2.965517241,.,1.517241379,2.655172414,3.068965517,2.034482759,93
BF-220,B,F,33.34482759,29,1,0,0,1,0,0,0,0,1.233333333,1.366666667,1.566666667,1.3,2.566666667,3.366666667,2.5,1.833333333,4.382352941,1.633333333,.,1.466666667,1.633333333,3.1,1.344827586,95.5
BF-221,B,F,27.04166667,25,1,0,0,1,0,0,0,0,1.12,1.2,1.92,1.2,2.68,5.52,4.36,1.52,3.975609756,1.48,.,1.36,1.48,3.88,2.52,110.5
BF-222,B,F,26,29,1,0,0.034482759,0.896551724,0,0.068965517,0,0,2.344827586,2.379310345,2.357142857,2.321428571,2.724137931,4.344827586,2.285714286,2.172413793,3.191489362,2.517241379,.,2.75862069,1.931034483,3.206896552,2.448275862,120
BF-223,B,F,26.86363636,22,0.952380952,0.047619048,0,0.954545455,0,0.045454545,0,0,1.727272727,2,2.863636364,1.636363636,2.590909091,5.454545455,2.954545455,1.454545455,3.210526316,1.863636364,.,1.272727273,1.636363636,3.5,2.238095238,108.5
BF-224,B,F,42.48275862,29,1,0,0,1,0,0,0,0,1.862068966,3.034482759,1.448275862,2.310344828,4,2.75862069,1.344827586,3.620689655,4.404761905,2.482758621,.,1.413793103,3.482758621,2.448275862,2.482758621,97
BF-225,B,F,42.03846154,26,1,0,0,1,0,0,0,0,1.730769231,2.653846154,1.692307692,2.230769231,3.846153846,3.730769231,2.230769231,3.08,4.1875,2.192307692,.,1.461538462,2.538461538,3.5,2.461538462,110.5
BF-226,B,F,29.2962963,27,1,0,0,0.925925926,0,0.074074074,0,0,1.461538462,1.555555556,2.777777778,1.461538462,2.923076923,5.481481481,2.653846154,1.518518519,3.3125,1.592592593,.,1.518518519,1.481481481,3.740740741,2.62962963,127.5
BF-227,B,F,36.18518519,27,1,0,0,1,0,0,0,0,1.925925926,4.740740741,1.666666667,3.62962963,4.884615385,2.592592593,1.592592593,4.269230769,4.358490566,2.615384615,.,1.703703704,4.37037037,2.62962963,3.111111111,82
BF-228,B,F,36.10344828,29,1,0,0,1,0,0,0,0,2.068965517,2.448275862,2.172413793,2.206896552,3.25,4.896551724,4.344827586,2.275862069,3.388888889,2.068965517,.,2.413793103,2.25,4.103448276,2.551724138,123
BF-229,B,F,31.11538462,26,0.96,0.04,0,1,0,0,0,0,1.961538462,2.269230769,2.32,2.192307692,3.192307692,4.846153846,3.346153846,2.346153846,4.441860465,2,.,1.769230769,2.2,4.038461538,3.038461538,87
BF-230,B,F,32.40740741,26,1,0,0,0.923076923,0,0.076923077,0,0,1.37037037,2.185185185,2.037037037,1.576923077,3.076923077,4.461538462,2.62962963,1.592592593,3.391304348,1.888888889,.,1.230769231,1.888888889,3.461538462,2.333333333,114
BF-231,B,F,39.77777778,27,1,0,0,0.962962963,0,0,0.037037037,0,2.148148148,3.037037037,1.888888889,2.555555556,3.62962963,3.814814815,2.185185185,3.037037037,4.19047619,2.592592593,.,1.888888889,2.962962963,3.481481481,2.692307692,96
BF-232,B,F,27,27,0.962962963,0.037037037,0,0.925925926,0,0.074074074,0,0,1.962962963,2.111111111,2.555555556,2.111111111,2.481481481,5.888888889,2.923076923,1.777777778,3.256410256,2.222222222,.,1.740740741,1.925925926,4,2.62962963,115
BF-233,B,F,28.69230769,26,1,0,0,0.884615385,0,0.115384615,0,0,1.5,1.538461538,2.153846154,1.230769231,2.153846154,5.88,3.538461538,1.346153846,3.29787234,2.192307692,.,1.538461538,1.4,4,1.769230769,111
BF-234,B,F,46.59259259,27,0.962962963,0.037037037,0,0.851851852,0.074074074,0.074074074,0,0,1.851851852,2.666666667,1.666666667,2.555555556,2.925925926,4.296296296,2.346153846,2.222222222,2.25,2.444444444,.,1.653846154,2.423076923,3.333333333,2.740740741,121.5
BF-235,B,F,29.75862069,29,0.965517241,0.034482759,0,0.965517241,0,0.034482759,0,0,2.827586207,3.142857143,2.321428571,2.821428571,2.896551724,4.379310345,1.571428571,1.965517241,3.613636364,2.896551724,.,2,2.068965517,3.5,2.75862069,116.5
BF-236,B,F,47.62068966,29,1,0,0,0.068965517,0.517241379,0.206896552,0.068965517,0.137931034,1.678571429,2.586206897,1.068965517,1.931034483,3.24137931,4.571428571,1.862068966,2.103448276,1.11627907,2.448275862,.,1.551724138,1.724137931,3.517241379,1.965517241,153.5
BF-237,B,F,33.25,28,1,0,0.035714286,0.785714286,0.035714286,0.071428571,0.071428571,0,1.892857143,2,2.321428571,1.62962963,2.892857143,5,3.214285714,1.857142857,3.384615385,2,.,1.857142857,1.678571429,3.964285714,2.214285714,109.5
BF-238,B,F,45.68,25,1,0,0,1,0,0,0,0,1.8,2.2,1.56,2.04,3.16,4.130434783,2.72,2.84,3.810810811,2.28,.,1.52,1.96,3.666666667,2.12,115
BF-239,B,F,29.75862069,29,1,0,0,0.965517241,0,0.034482759,0,0,1.655172414,2.793103448,1.551724138,1.75862069,2.928571429,4.448275862,2.068965517,1.448275862,3.465116279,2.655172414,.,1.620689655,2.24137931,3.379310345,2.24137931,104
BF-240,B,F,24.4137931,29,1,0,0,0.379310345,0.068965517,0.551724138,0,0,1.689655172,2.24137931,2.75862069,1.448275862,2.413793103,5.896551724,2.275862069,1.206896552,1.720930233,2.586206897,.,1.310344828,1.517241379,3.724137931,2.793103448,153
BF-241,B,F,25.32142857,28,0.964285714,0.035714286,0,0.964285714,0,0.035714286,0,0,1.607142857,1.714285714,2.607142857,1.142857143,2.035714286,5.518518519,2.535714286,1.107142857,3.133333333,2,.,1.296296296,1.444444444,3.392857143,1.642857143,126
BF-242,B,F,27.61538462,26,1,0,0,0.884615385,0,0.115384615,0,0,1.230769231,1.16,2.48,1.384615385,2.04,4.384615385,2.846153846,2.346153846,2.875,1.615384615,.,1.44,1.230769231,3.923076923,3.038461538,113.5
BF-243,B,F,30.70833333,25,1,0,0,0.96,0,0.04,0,0,1.88,2.4,2.04,1.958333333,2.92,4.68,2,1.68,3.146341463,2.28,.,1.44,1.88,3.72,2.24,128
BF-244,B,F,29.10714286,28,1,0,0,1,0,0,0,0,1.642857143,2.107142857,2.035714286,1.821428571,2.964285714,5.214285714,2.964285714,1.555555556,3.422222222,2.222222222,.,1.821428571,2,3.678571429,1.857142857,133
BF-245,B,F,35.40740741,28,1,0,0,0.964285714,0,0,0.035714286,0,2.75,2.035714286,2.074074074,1.678571429,2.62962963,4.642857143,2.678571429,2.392857143,3.88372093,3.142857143,.,1.964285714,2.296296296,3.928571429,2.592592593,118
BF-246,B,F,38.66666667,27,1,0,0,1,0,0,0,0,1.407407407,2.962962963,1.37037037,3.185185185,3.703703704,4.222222222,2.333333333,2.407407407,4.536585366,1.740740741,.,1.62962963,2.962962963,3.076923077,2.407407407,96
BF-247,B,F,25.48148148,27,1,0,0,0.925925926,0,0.074074074,0,0,1.777777778,2.16,2.444444444,1.740740741,2.592592593,5.037037037,2.740740741,1.62962963,3.130434783,2.307692308,.,1.740740741,1.962962963,3.888888889,2.222222222,120.5
BF-248,B,F,38.82142857,28,1,0,0,0.964285714,0,0.035714286,0,0,2.535714286,2.464285714,1.714285714,2.518518519,2.714285714,4.821428571,2.571428571,1.75,3.956521739,2.642857143,.,1.777777778,2.035714286,3.785714286,2.5,106
BF-249,B,F,29.88461538,26,0.961538462,0.038461538,0,0.961538462,0,0.038461538,0,0,1.846153846,2.230769231,2.153846154,1.692307692,3.076923077,4.576923077,2.038461538,2.076923077,3.590909091,2.192307692,.,1.461538462,1.961538462,3.307692308,2.307692308,123.5
BF-250,B,F,31.0952381,21,1,0,0,1,0,0,0,0,1.666666667,2.095238095,1.666666667,1.80952381,2.952380952,5.523809524,3.476190476,2,3.948717949,2.35,.,2.047619048,1.571428571,4.047619048,2.047619048,112.5
BF-251,B,F,38.07407407,27,1,0,0,0.925925926,0,0.074074074,0,0,1.259259259,1.777777778,1.703703704,1.444444444,2.703703704,5.074074074,4.185185185,1.37037037,3.475,1.555555556,.,1.461538462,1.481481481,4.62962963,1.962962963,103.5
BF-252,B,F,38.13043478,23,1,0,0,0.913043478,0,0.086956522,0,0,2.173913043,2.545454545,2.652173913,2.363636364,2.818181818,3.826086957,2.409090909,2.869565217,3.444444444,2.695652174,.,1.590909091,2.043478261,3.304347826,2.739130435,118.5
BF-253,B,F,30.20833333,24,1,0,0,1,0,0,0,0,1.458333333,2.045454545,2.125,1.75,2.869565217,4.166666667,2.541666667,2.25,4.575,1.833333333,.,1.291666667,1.791666667,4.125,1.958333333,120.5
BF-254,B,F,41.03703704,27,0.962962963,0.037037037,0,0.740740741,0,0.259259259,0,0,1.62962963,3.185185185,1.592592593,2.111111111,3,4.230769231,1.925925926,1.88,2.704545455,2.115384615,.,1.185185185,2.481481481,3.62962963,2,135
