imgName,FA,CA,AV
../../../cfd/BF-244-N.jpg,3678.67516149,447.728304632,140.745887851
../../../cfd/BF-245-N.jpg,3640.32066371,525.80356653,81.6836030859
../../../cfd/BF-246-N.jpg,3523.7399431,542.480784038,182.91180106
../../../cfd/BF-247-N.jpg,3467.32202459,453.083621503,68.4785580562
../../../cfd/BF-248-N.jpg,3316.2570023,444.920332743,226.081250084
../../../cfd/BF-249-N.jpg,3580.16300657,446.242515744,159.159342381
../../../cfd/BF-250-N.jpg,3815.89569195,488.738953172,232.261188601
../../../cfd/BF-251-N.jpg,3409.72922963,478.462773285,152.867433212
../../../cfd/BF-252-N.jpg,3355.06145172,466.904950648,125.326102565
../../../cfd/BF-253-N.jpg,3338.34603423,485.54304922,152.12582059
../../../cfd/BF-254-N.jpg,3655.04404285,461.220756812,185.123699439
../../../cfd/BF-255-N.jpg,3569.6575259,493.474576548,87.7980726967
../../../cfd/BM-001-N.jpg,3653.83662658,492.911444409,101.028822057
../../../cfd/BM-002-N.jpg,3527.56850992,464.009752739,291.380129432
../../../cfd/BM-003-N.jpg,3620.85567731,457.565853806,127.069334954
../../../cfd/BM-004-N.jpg,3250.59148608,461.373333465,287.691124931
../../../cfd/BM-005-N.jpg,3563.75152227,461.871211238,93.415991525
../../../cfd/BM-009-N.jpg,3455.45692073,473.936863304,114.69302871
../../../cfd/BM-010-N.jpg,3481.97080041,466.033900619,100.771810572
../../../cfd/BM-011-N.jpg,3502.86947578,522.222301871,124.73880045
../../../cfd/BM-012-N.jpg,3674.457887,498.632488107,128.064017727
../../../cfd/BM-013-N.jpg,3693.89093517,491.160331745,82.0920042593
../../../cfd/BM-015-N.jpg,3924.9594694,544.546288277,267.199747029
../../../cfd/BM-016-N.jpg,3485.4044153,465.520308853,155.462619052
../../../cfd/BM-017-N.jpg,3750.83041179,572.58776391,274.08316547
../../../cfd/BM-018-N.jpg,3741.33113787,456.674217716,115.396636497
../../../cfd/BM-019-N.jpg,3440.4998461,441.815263149,250.075595297
../../../cfd/BM-020-N.jpg,3606.39111853,488.860475664,147.118655076
../../../cfd/BM-021-N.jpg,3539.83069023,464.567763363,119.996760187
../../../cfd/BM-022-N.jpg,3643.91271068,457.490038929,156.74449526
../../../cfd/BM-023-N.jpg,3616.14213621,480.10981266,257.452523488
../../../cfd/BM-024-N.jpg,3694.39312806,480.714352317,161.228508465
../../../cfd/BM-025-N.jpg,3586.0912433,483.88760356,167.954699711
../../../cfd/BM-026-N.jpg,3794.440253,468.688892578,258.74310676
../../../cfd/BM-027-N.jpg,3195.28828658,434.685544696,294.83217728
../../../cfd/BM-028-N.jpg,3357.75932674,467.999995646,151.183045912
../../../cfd/BM-029-N.jpg,3627.86181667,485.086183208,128.645881681
../../../cfd/BM-030-N.jpg,3474.55456211,456.009486118,125.288910243
../../../cfd/BM-031-N.jpg,3774.01764223,509.807818179,189.28841931
../../../cfd/BM-032-N.jpg,3407.67743972,463.612023438,239.627765824
../../../cfd/BM-033-N.jpg,3388.21523462,442.621889267,155.633134811
../../../cfd/BM-034-N.jpg,3550.04928824,505.318975463,194.909095884
../../../cfd/BM-036-N.jpg,3588.06921118,498.351907273,159.771458466
../../../cfd/BM-037-N.jpg,3653.47217638,471.143021878,194.16751092
../../../cfd/BM-038-N.jpg,3504.19694634,500.757840123,179.504744428
../../../cfd/BM-039-N.jpg,3471.11895178,467.533560838,199.946513351
../../../cfd/BM-040-N.jpg,3682.42383433,509.466075573,95.6367857917
../../../cfd/BM-041-N.jpg,3661.56604941,498.13901058,149.213660228
../../../cfd/BM-043-N.jpg,3732.14306661,487.468901782,246.927237264
../../../cfd/BM-044-N.jpg,3360.06901506,472.362292281,121.121977953
../../../cfd/BM-045-N.jpg,3605.43683847,492.042439081,196.175249216
../../../cfd/BM-046-N.jpg,3309.15422244,413.054882435,146.568694491
../../../cfd/BM-200-N.jpg,3607.96960049,500.512129812,249.452611062
../../../cfd/BM-201-N.jpg,3491.70601025,491.402648448,153.124085908
../../../cfd/BM-202-N.jpg,3434.79676187,479.221893251,160.448780873
../../../cfd/BM-203-N.jpg,3600.94067304,470.050833674,148.545745515
../../../cfd/BM-204-N.jpg,3688.25357119,483.741323782,176.987609814
../../../cfd/BM-205-N.jpg,3631.24152746,524.161711535,286.092893679
../../../cfd/BM-206-N.jpg,3724.82027006,504.390764614,129.415224897
../../../cfd/BM-207-N.jpg,3661.26281237,497.340223754,186.911393486
../../../cfd/BM-208-N.jpg,3867.41431504,535.855204202,193.280744452
../../../cfd/BM-209-N.jpg,3671.981859,479.908741922,157.163303346
../../../cfd/BM-210-N.jpg,3745.41627336,495.102275602,280.567468256
../../../cfd/BM-211-N.jpg,3447.22609464,467.983075158,136.744054514
../../../cfd/BM-212-N.jpg,3753.09371634,467.543106232,284.634916256
../../../cfd/BM-213-N.jpg,3301.68402964,488.241328701,194.254152625
../../../cfd/BM-214-N.jpg,3545.20410885,470.624317725,132.248699543
../../../cfd/BM-215-N.jpg,3503.05777107,473.440876046,198.765918419
../../../cfd/BM-216-N.jpg,3483.65239419,506.021012519,186.234449954
../../../cfd/BM-217-N.jpg,3579.88079032,497.467857055,156.084304855
../../../cfd/BM-218-N.jpg,3939.53051092,526.644882205,265.915893929
../../../cfd/BM-219-N.jpg,3545.96347731,472.634424991,113.205972869
../../../cfd/BM-221-N.jpg,3742.63557251,463.129140283,179.925765024
../../../cfd/BM-222-N.jpg,3428.56997206,483.813298996,107.85797053
../../../cfd/BM-223-N.jpg,3639.32770331,505.02426359,242.351044926
../../../cfd/BM-224-N.jpg,3418.00750479,494.626378891,105.350987734
../../../cfd/BM-225-N.jpg,3657.18974864,522.473921708,179.873676795
../../../cfd/BM-226-N.jpg,4013.95146341,523.476829361,266.627882961
../../../cfd/BM-227-N.jpg,3995.4913833,538.146586934,364.558453553
../../../cfd/BM-228-N.jpg,3519.05320258,487.50054699,116.006804605
../../../cfd/BM-229-N.jpg,3695.11779195,524.311248913,228.654486105
../../../cfd/BM-230-N.jpg,3481.03689891,472.615860291,70.8843725097
../../../cfd/BM-231-N.jpg,3642.62268417,479.758498289,147.182894246
../../../cfd/BM-232-N.jpg,3544.07812354,455.725626526,118.707140506
../../../cfd/BM-233-N.jpg,3800.0773071,484.560210518,298.90405049
../../../cfd/BM-234-N.jpg,3524.29137631,507.097881268,122.937154933
../../../cfd/BM-235-N.jpg,3761.05257805,491.572295042,173.454936119
../../../cfd/BM-236-N.jpg,3605.71578459,498.908029781,224.766150196
../../../cfd/BM-237-N.jpg,3580.76350125,475.673531786,169.101220766
../../../cfd/BM-238-N.jpg,3305.18041095,451.717849076,202.164169281
