dataset,img_num,nose_width,nose_length,lip_thickness,face_length,eye_height,eye_width,face_width_prom,face_width_mouth,forehead_length,distance_btw_pupils,dist_btw_pupils_top,dist_btw_pupils_lip,chin_length,length_cheek_to_chin,brow_to_hair,fWHR,face_shape,heartshapeness,nose_shape,lip_fullness,eye_shape,eye_size,upper_head_len,midface_len,chin_size,forehead_height,cheek_height,cheek_prominence,face_roundness
mit,10,26.0192236625,50.0099990002,13.5710678119,200.039996001,8.7569390943,26.623238699,137.003649586,115.004347744,92.1357693841,63.5177140647,93.075574132,66.0558255673,30.0665927567,95.8986147353,69.5880736908,1.5651173022,0.6848812854,1.1912910449,0.5202804276,0.0678417721,0.3289208797,0.0437759412,0.4605867388,0.3302130918,0.1503029062,0.3478708013,0.4793972038,0.1099745165,0.5749067689
mit,11,29.0172362571,55.0090901579,14.0355339059,201.022386813,10.2749378106,29.0859978657,156.080107637,130.034610777,72.5603197347,72.5430906427,74.0358865686,75.0683731492,43.1045241245,110.057918821,48.6621002424,1.6089877743,0.7764314717,1.2002966495,0.5274989311,0.0698207505,0.3532606259,0.0511134007,0.3609564133,0.3734329014,0.2144264866,0.2420730398,0.5474908569,0.1295651558,0.6468663159
mit,12,28.0178514522,49,19.5,201,9.5131487952,24.5204081527,139,118.004237212,78,60.5020660804,80,69.9166211097,36.0138862107,99.7674067091,56,1.5273803083,0.6915422886,1.1779238041,0.5717928868,0.0970149254,0.3879686152,0.0473290985,0.3880597015,0.3478438861,0.1791735632,0.2786069652,0.4963552573,0.1044565313,0.5870857573
mit,13,28,47,20.0498756211,201.009950002,8.2573465915,27.5089257261,156.028843487,132.060592154,72.0069441096,66.017043254,74.7767510661,69.0144791522,42.0119030752,109.658547347,50.5099000197,1.7629252404,0.7762244779,1.18149435,0.5957446809,0.0997456873,0.3001697221,0.0410792928,0.35822577,0.3433386216,0.2090040969,0.2512805959,0.5455379067,0.1192391289,0.656985349
mit,14,28.0178514522,53.0848377599,20.5,201.121853611,8.2871155776,25.5783410144,136.058810814,114.109596441,83.0963296422,63.0178546128,84.3226689568,70.0513983382,30,102.432133465,62.0987117419,1.5275699295,0.6764993877,1.1923520463,0.5277938604,0.1019282571,0.323989565,0.0412044511,0.4131641,0.3483032653,0.149163303,0.308761632,0.5093038455,0.1091339105,0.5673654772
mit,15,26,49.0102030194,21.0249378106,201.039797055,10.0062460986,29.0172362571,145.013792447,123.016259088,75.2396172239,66,79.5883942544,65.9497709108,41.0121933088,100.824111549,55.1112511199,1.6854948744,0.7213188362,1.1788180971,0.5305017812,0.1045809741,0.3448380132,0.0497724642,0.3742523536,0.3280433619,0.2040003716,0.2741310523,0.501513198,0.1094188001,0.6119000362
mit,16,28,51,17.0355339059,201.009950002,9.5262432936,28.5701107014,147.013604813,120.037494142,85.0058821494,70.0071424927,87.5032142267,67.0455456083,33.0151480384,104.814093396,60.0020832972,1.5979503663,0.7313747643,1.2247307049,0.5490196078,0.0847497047,0.3334338951,0.0473918992,0.4228939023,0.3335434172,0.1642463372,0.2985030507,0.5214373388,0.1342028624,0.5971719019
mit,17,29.0172362571,48.0104155366,15,201.022386813,7,26.0096118313,139.003597076,116.038786619,85.094065598,64.0078120232,86.0130804006,65.6303134983,38.0131556175,99.9283474991,67.0298440995,1.7155709106,0.691483169,1.1979063305,0.6043946076,0.0746185549,0.2691312752,0.0348219923,0.4233064135,0.3264826099,0.1890991159,0.3334446733,0.497100592,0.1142400646,0.5772431044
mit,18,30.0166620396,50.0899191455,14.5355339059,201.089532298,8.75,27.0185121722,156.115341975,125.143917151,79.0569415042,69.0651865993,80.7886904214,71.2433817246,40,104.437833198,57.5543221661,1.7429732498,0.7763474319,1.2474864582,0.5992555499,0.0722838914,0.3238520295,0.0435129561,0.3931429976,0.3542868737,0.1989163709,0.2862124224,0.5193598692,0.1540180857,0.6223293461
mit,19,26,53.0094331228,17.5498756211,199,9.5328176913,26.1246571387,128,109,78,58.5021367131,79.0035600464,70.6600080402,34.0147027034,98.7851457534,54.0092584656,1.3472937808,0.6432160804,1.1743119266,0.4904787406,0.0881903298,0.3648973321,0.0479036065,0.391959799,0.3550754173,0.1709281543,0.2714033089,0.4964077676,0.0954773869,0.5477386935
mit,20,25.079872408,44.0454310911,17.0553851381,201.15914098,8.7776925691,28.5442869762,156.156972307,127.141653285,84.2911620515,65.06919394,86.9403531164,61.0225359609,41,104.813094476,60.207972894,1.8792282761,0.7762857385,1.2282125352,0.5694091711,0.0847855338,0.3075113621,0.043635564,0.419027252,0.3033545265,0.2038187268,0.29930518,0.5210456456,0.144240619,0.6320451194
mit,21,31.0161248385,54,22.5249378106,202.022275999,10.5476183192,31.1046360694,168.01190434,139.057542046,77.1621668954,78,77.3082304803,70.6536174744,36.0555127546,116.376442012,51.6551062336,1.8162387797,0.8316503886,1.2082185681,0.5743726822,0.1114972975,0.3391011647,0.0522101747,0.381948805,0.3497318161,0.1784729559,0.2556901509,0.576057474,0.143322622,0.6883277666
mit,22,26.0192236625,50.0399840128,16.0355339059,201.009950002,9.3088460154,27.0923337933,144.03124661,124,74.1080292546,68.0459403638,77.0198837963,69.1454408588,43.0464865001,104.892481913,52.1176553579,1.5815915678,0.7165378958,1.1615423114,0.5199686646,0.0797748266,0.3435970517,0.0463103743,0.3686784125,0.3439901401,0.2141510234,0.2592789827,0.5218273121,0.0996530103,0.6168848855
mit,23,26.0192236625,48.0416485979,16,201.009950002,9.2842669667,27,150.003333296,127.003936947,79,64,82.5136352369,67.9510549864,39,103.279162335,58.0021551324,1.6847661668,0.7462482991,1.1810919953,0.541597227,0.0795980497,0.3438617395,0.0461880965,0.3930153706,0.3380482159,0.1940202463,0.2885536519,0.5138012438,0.1144191934,0.6318291057
mit,24,27,46.0977222865,19.5311288741,199.010049997,7.0355339059,24.5503483534,134.059688199,112,76.0065786626,60.0083327547,78.00040064,66.2634994799,39.0128184063,99.6264839915,56.5199079971,1.5858112918,0.6736327547,1.1969615018,0.5857122361,0.0981414199,0.2865757261,0.0353526563,0.3819233183,0.3329655939,0.1960344134,0.2840052952,0.5006103159,0.1108471065,0.5627856483
mit,25,31,52.0096144958,15.0710678119,201.002487547,9.25,30.0083310198,159.003144623,135.003703653,73.0616178304,74.0152011414,75.2915167864,71.1212360019,47.0956473573,107.489535985,49.0637340609,1.7282695266,0.7910506311,1.1777687598,0.5960436412,0.0749795089,0.3082477327,0.046019331,0.3634861375,0.3538326161,0.2343038036,0.2440951585,0.5347671927,0.1193987262,0.6716519049
mit,26,28,52,15.5355339059,201.062179437,11.2943786989,30.5655209454,161.00310556,140.032139168,73.1095069057,71.5069926651,76.2995740486,70.8812950963,42.0475920833,111.41172477,49.1248409667,1.677092936,0.8007627591,1.1497582378,0.5384615385,0.0772673108,0.3695136988,0.0561735615,0.3636164052,0.3525342026,0.2091273068,0.2443266113,0.554115772,0.1043009006,0.6964618585
mit,27,29.0172362571,59,15,201.022386813,9.7815122082,28.6145696941,146.030818665,121.066097649,79.0253124005,67.5296231294,80.2749182497,75.923537052,33,106.295401806,51.5218400293,1.4245383837,0.726440577,1.2062073652,0.4918175637,0.0746185549,0.3418367745,0.0486588204,0.393116974,0.3776869744,0.1641608207,0.2562990165,0.5287739515,0.1241887603,0.6022518167
mit,28,32.0156211872,56.0802995712,18.5,201.089532298,11.0453610172,31.5724115024,164.076201809,140.032139168,73.027392121,79.0774936376,74.2920756205,76.9006849003,36.0555127546,115.071531674,51.5097078229,1.6994504866,0.8159360656,1.1717038873,0.5708889116,0.0919988216,0.3498421721,0.0549275782,0.3631585955,0.3824201291,0.1793007937,0.2561531037,0.572240287,0.1195689421,0.6963671235
